area_id,hour,traffic_index
A1,0,22
A1,1,18
A1,2,15
A1,3,14
A1,4,16
A1,5,25
A1,6,40
A1,7,58
A1,8,72
A1,9,60
A1,10,48
A1,11,45
A1,12,43
A1,13,44
A1,14,46
A1,15,52
A1,16,60
A1,17,70
A1,18,65
A1,19,50
A1,20,38
A1,21,30
A1,22,26
A1,23,22
A2,0,18
A2,1,16
A2,2,14
A2,3,13
A2,4,15
A2,5,22
A2,6,38
A2,7,55
A2,8,68
A2,9,58
A2,10,46
A2,11,44
A2,12,42
A2,13,43
A2,14,45
A2,15,50
A2,16,58
A2,17,66
A2,18,60
A2,19,48
A2,20,36
A2,21,28
A2,22,24
A2,23,20
B1,0,16
B1,1,14
B1,2,12
B1,3,12
B1,4,13
B1,5,20
B1,6,35
B1,7,50
B1,8,62
B1,9,52
B1,10,42
B1,11,40
B1,12,38
B1,13,39
B1,14,41
B1,15,46
B1,16,54
B1,17,62
B1,18,56
B1,19,44
B1,20,34
B1,21,26
B1,22,22
B1,23,18
B2,0,14
B2,1,12
B2,2,11
B2,3,11
B2,4,12
B2,5,18
B2,6,30
B2,7,44
B2,8,55
B2,9,48
B2,10,40
B2,11,38
B2,12,36
B2,13,37
B2,14,39
B2,15,44
B2,16,52
B2,17,58
B2,18,52
B2,19,40
B2,20,32
B2,21,24
B2,22,20
B2,23,16
